"question_id","question","answerable","expected_document","reference_answer","category","difficulty","evaluation_focus","required_claims","reference_evidence","unanswerable_reason"
"11","How does IBIT determine NAV on a Business Day, from valuing bitcoin through calculating NAV per Share?","true","0001437749-25-015168","After 4:00 p.m. ET, IBIT values bitcoin using the CME CF Bitcoin Reference Rate – New York Variant, subtracts accrued fees, expenses, and liabilities from total assets to obtain net asset value, and divides by shares outstanding to calculate NAV per Share.","Procedural","hard","multi-step financial procedure","[""IBIT values bitcoin using the CME CF Bitcoin Reference Rate – New York Variant."",""IBIT calculates NAV as soon as practicable after 4:00 p.m. ET on a Business Day."",""IBIT subtracts accrued fees, expenses, and other liabilities from total assets to obtain net asset value."",""IBIT divides net asset value by shares outstanding to compute NAV per Share.""]","[{""claim_index"":1,""accession"":""0001437749-25-015168"",""filing_period"":""2025-03-31"",""section"":""Financial Statements — Valuation of Bitcoin"",""supporting_passage"":""The CME CF Bitcoin Reference Rate – New York Variant for the Bitcoin – U.S. Dollar trading pair (the ‘CF Benchmarks Index’) shall constitute the Index, unless the CF Benchmarks Index is not available or the Sponsor in its sole discretion determines the CF Benchmarks Index is unreliable as the Index and therefore determines not to use the CF Benchmarks Index as the Index.""},{""claim_index"":2,""accession"":""0001437749-25-015168"",""filing_period"":""2025-03-31"",""section"":""Financial Statements — Calculation of Net Asset Value"",""supporting_passage"":""On each Business Day, as soon as practicable after 4:00 p.m. ET, the net asset value of the Trust is obtained by subtracting all accrued fees, expenses and other liabilities of the Trust from the total assets held by the Trust. The Trust Administrator computes the NAV by dividing the net asset value of the Trust by the number of Shares outstanding.""},{""claim_index"":3,""accession"":""0001437749-25-015168"",""filing_period"":""2025-03-31"",""section"":""Financial Statements — Calculation of Net Asset Value"",""supporting_passage"":""On each Business Day, as soon as practicable after 4:00 p.m. ET, the net asset value of the Trust is obtained by subtracting all accrued fees, expenses and other liabilities of the Trust from the total assets held by the Trust. The Trust Administrator computes the NAV by dividing the net asset value of the Trust by the number of Shares outstanding.""},{""claim_index"":4,""accession"":""0001437749-25-015168"",""filing_period"":""2025-03-31"",""section"":""Financial Statements — Calculation of Net Asset Value"",""supporting_passage"":""On each Business Day, as soon as practicable after 4:00 p.m. ET, the net asset value of the Trust is obtained by subtracting all accrued fees, expenses and other liabilities of the Trust from the total assets held by the Trust. The Trust Administrator computes the NAV by dividing the net asset value of the Trust by the number of Shares outstanding.""}]",""
"12","How did ETHA move from seed investment to active operations in 2024?","true","0001437749-25-006261","The seed investor purchased 400,000 shares at $25.00 each on May 21, 2024. ETHA then used the $10 million proceeds to purchase approximately 3,031 ether through the Prime Execution Agent on June 24, 2024, when operations and daily Sponsor Fee accrual began.","Procedural","hard","chronological synthesis","[""On May 21, 2024, the seed investor purchased 400,000 ETHA shares at $25.00 each."",""The seed transaction produced $10 million."",""On June 24, 2024, ETHA used the seed proceeds to purchase approximately 3,031 ether through the Prime Execution Agent."",""ETHA commenced operations on June 24, 2024."",""Daily Sponsor Fee accrual at an annualized 0.25% of NAV began on June 24, 2024.""]","[{""claim_index"":1,""accession"":""0001437749-25-006261"",""filing_period"":""2024-12-31"",""section"":""Management’s Discussion and Analysis of Financial Condition and Results of Operations"",""supporting_passage"":""On May 21, 2024, the Seed Capital Investor, an affiliate of the Sponsor, subject to conditions, purchased the Seed Creation Baskets, comprising 400,000 Shares at a per Share price equal to $25.00. Total proceeds to the Trust from the sale of the Seed Creation Baskets were $10,000,000.""},{""claim_index"":2,""accession"":""0001437749-25-006261"",""filing_period"":""2024-12-31"",""section"":""Management’s Discussion and Analysis of Financial Condition and Results of Operations"",""supporting_passage"":""On May 21, 2024, the Seed Capital Investor, an affiliate of the Sponsor, subject to conditions, purchased the Seed Creation Baskets, comprising 400,000 Shares at a per Share price equal to $25.00. Total proceeds to the Trust from the sale of the Seed Creation Baskets were $10,000,000.""},{""claim_index"":3,""accession"":""0001437749-25-006261"",""filing_period"":""2024-12-31"",""section"":""Management’s Discussion and Analysis of Financial Condition and Results of Operations"",""supporting_passage"":""On June 24, 2024, the Trust purchased approximately 3,031 ether with the proceeds of the Seed Creation Baskets using the Prime Execution Agent. With the above transaction on June 24, 2024, the Trust commenced operations and the Sponsor’s fee started accruing daily at an annualized rate equal to 0.25% of the net asset value of the Trust.""},{""claim_index"":4,""accession"":""0001437749-25-006261"",""filing_period"":""2024-12-31"",""section"":""Management’s Discussion and Analysis of Financial Condition and Results of Operations"",""supporting_passage"":""On June 24, 2024, the Trust purchased approximately 3,031 ether with the proceeds of the Seed Creation Baskets using the Prime Execution Agent. With the above transaction on June 24, 2024, the Trust commenced operations and the Sponsor’s fee started accruing daily at an annualized rate equal to 0.25% of the net asset value of the Trust.""},{""claim_index"":5,""accession"":""0001437749-25-006261"",""filing_period"":""2024-12-31"",""section"":""Management’s Discussion and Analysis of Financial Condition and Results of Operations"",""supporting_passage"":""On June 24, 2024, the Trust purchased approximately 3,031 ether with the proceeds of the Seed Creation Baskets using the Prime Execution Agent. With the above transaction on June 24, 2024, the Trust commenced operations and the Sponsor’s fee started accruing daily at an annualized rate equal to 0.25% of the net asset value of the Trust.""}]",""
"13","What must a party do to become an Authorized Participant for FETH, and how could Baskets be purchased or redeemed at commencement?","true","0000950170-25-039374","A party must be either a registered broker-dealer or another securities-market participant not required to register as a broker-dealer, must be a DTC Participant, and must enter into an Authorized Participant Agreement with the Distributor. At commencement, Authorized Participants could purchase or redeem Baskets only for cash.","Procedural","hard","eligibility conditions and transaction method","[""A FETH Authorized Participant must be a registered broker-dealer or another securities-market participant not required to register as a broker-dealer."",""A FETH Authorized Participant must be a DTC Participant."",""A party must enter into an Authorized Participant Agreement with the Distributor."",""At commencement, FETH Baskets could be purchased or redeemed only for cash.""]","[{""claim_index"":1,""accession"":""0000950170-25-039374"",""filing_period"":""2024-12-31"",""section"":""Business — Creation and Redemption of Shares"",""supporting_passage"":""Authorized Participants must be (1) registered broker-dealers or other securities market participants, such as banks and other financial institutions, which are not required to register as broker-dealers to engage in securities transactions described below and (2) DTC Participants. To become an Authorized Participant, a person must enter into an Authorized Participant Agreement with the Distributor.""},{""claim_index"":2,""accession"":""0000950170-25-039374"",""filing_period"":""2024-12-31"",""section"":""Business — Creation and Redemption of Shares"",""supporting_passage"":""Authorized Participants must be (1) registered broker-dealers or other securities market participants, such as banks and other financial institutions, which are not required to register as broker-dealers to engage in securities transactions described below and (2) DTC Participants. To become an Authorized Participant, a person must enter into an Authorized Participant Agreement with the Distributor.""},{""claim_index"":3,""accession"":""0000950170-25-039374"",""filing_period"":""2024-12-31"",""section"":""Business — Creation and Redemption of Shares"",""supporting_passage"":""Authorized Participants must be (1) registered broker-dealers or other securities market participants, such as banks and other financial institutions, which are not required to register as broker-dealers to engage in securities transactions described below and (2) DTC Participants. To become an Authorized Participant, a person must enter into an Authorized Participant Agreement with the Distributor.""},{""claim_index"":4,""accession"":""0000950170-25-039374"",""filing_period"":""2024-12-31"",""section"":""Business — Creation and Redemption of Shares"",""supporting_passage"":""As of the Trust’s commencement of operations, Baskets may only be purchased or redeemed by Authorized Participants for cash.""}]",""
"14","How does FBTC issue or redeem shares, and how is a Basket tied to the Trust's bitcoin holdings?","true","0000950170-25-039452","FBTC issues and redeems shares in blocks of 25,000 shares called Baskets. The Basket is based on the bitcoin attributable to each share after accrued but unpaid expenses and liabilities.","Procedural","medium","mechanism explanation","[""FBTC issues and redeems shares in Baskets."",""Each Basket contains 25,000 shares."",""A Basket is based on bitcoin attributable to each share after accrued but unpaid expenses and liabilities.""]","[{""claim_index"":1,""accession"":""0000950170-25-039452"",""filing_period"":""2024-12-31"",""section"":""Business"",""supporting_passage"":""When the Trust sells or redeems its Shares, it will do so in blocks of 25,000 Shares (a ‘Basket’) based on the quantity of bitcoin attributable to each Share of the Trust, net of accrued but unpaid expenses and liabilities.""},{""claim_index"":2,""accession"":""0000950170-25-039452"",""filing_period"":""2024-12-31"",""section"":""Business"",""supporting_passage"":""When the Trust sells or redeems its Shares, it will do so in blocks of 25,000 Shares (a ‘Basket’) based on the quantity of bitcoin attributable to each Share of the Trust, net of accrued but unpaid expenses and liabilities.""},{""claim_index"":3,""accession"":""0000950170-25-039452"",""filing_period"":""2024-12-31"",""section"":""Business"",""supporting_passage"":""When the Trust sells or redeems its Shares, it will do so in blocks of 25,000 Shares (a ‘Basket’) based on the quantity of bitcoin attributable to each Share of the Trust, net of accrued but unpaid expenses and liabilities.""}]",""
"15","How is GBTC designed to provide Bitcoin exposure, and what deductions prevent its shares from perfectly matching the gross Bitcoin price?","true","0000950170-25-029408","GBTC passively holds Bitcoin and seeks for its share value to reflect the Bitcoin it holds by reference to the Index Price. Trust expenses and other liabilities are deducted, and the Trust does not seek returns beyond tracking Bitcoin.","Procedural","medium","objective-mechanics explanation","[""GBTC is a passive investment vehicle holding Bitcoin."",""GBTC seeks for share value to reflect Bitcoin held by the Trust by reference to the Index Price."",""Trust expenses and other liabilities reduce the value reflected in the shares."",""GBTC does not seek returns beyond tracking Bitcoin’s price.""]","[{""claim_index"":1,""accession"":""0000950170-25-029408"",""filing_period"":""2024-12-31"",""section"":""Business"",""supporting_passage"":""The Shares are listed on NYSE Arca under the ticker symbol ‘GBTC.’ As a passive investment vehicle, the Trust’s investment objective is for the value of the Shares, based on Bitcoin per Share, to reflect the value of the Bitcoin held by the Trust, determined by reference to the Index Price, less the Trust’s expenses and other liabilities. The Trust does not seek to generate returns beyond tracking the price of Bitcoin.""},{""claim_index"":2,""accession"":""0000950170-25-029408"",""filing_period"":""2024-12-31"",""section"":""Business"",""supporting_passage"":""The Shares are listed on NYSE Arca under the ticker symbol ‘GBTC.’ As a passive investment vehicle, the Trust’s investment objective is for the value of the Shares, based on Bitcoin per Share, to reflect the value of the Bitcoin held by the Trust, determined by reference to the Index Price, less the Trust’s expenses and other liabilities. The Trust does not seek to generate returns beyond tracking the price of Bitcoin.""},{""claim_index"":3,""accession"":""0000950170-25-029408"",""filing_period"":""2024-12-31"",""section"":""Business"",""supporting_passage"":""The Shares are listed on NYSE Arca under the ticker symbol ‘GBTC.’ As a passive investment vehicle, the Trust’s investment objective is for the value of the Shares, based on Bitcoin per Share, to reflect the value of the Bitcoin held by the Trust, determined by reference to the Index Price, less the Trust’s expenses and other liabilities. The Trust does not seek to generate returns beyond tracking the price of Bitcoin.""},{""claim_index"":4,""accession"":""0000950170-25-029408"",""filing_period"":""2024-12-31"",""section"":""Business"",""supporting_passage"":""The Shares are listed on NYSE Arca under the ticker symbol ‘GBTC.’ As a passive investment vehicle, the Trust’s investment objective is for the value of the Shares, based on Bitcoin per Share, to reflect the value of the Bitcoin held by the Trust, determined by reference to the Index Price, less the Trust’s expenses and other liabilities. The Trust does not seek to generate returns beyond tracking the price of Bitcoin.""}]",""
"16","How does ETHA's Sponsor Fee accrue and how may it be paid according to the 2024 annual filing?","true","0001437749-25-006261","ETHA's Sponsor Fee accrues daily at an annualized rate of 0.25% of NAV and is payable at least quarterly in arrears in U.S. dollars, in kind, or a combination of both.","Procedural","medium","fee process retrieval","[""ETHA’s Sponsor Fee accrues daily."",""The annualized fee rate is 0.25% of NAV."",""The fee is payable at least quarterly in arrears."",""The fee may be paid in U.S. dollars, in kind, or a combination of both.""]","[{""claim_index"":1,""accession"":""0001437749-25-006261"",""filing_period"":""2024-12-31"",""section"":""Business — Sponsor’s Fee"",""supporting_passage"":""The Sponsor’s Fee is accrued daily at an annualized rate equal to 0.25% of the net asset value of the Trust and is payable at least quarterly in arrears in U.S. dollars or in-kind or any combination thereof.""},{""claim_index"":2,""accession"":""0001437749-25-006261"",""filing_period"":""2024-12-31"",""section"":""Business — Sponsor’s Fee"",""supporting_passage"":""The Sponsor’s Fee is accrued daily at an annualized rate equal to 0.25% of the net asset value of the Trust and is payable at least quarterly in arrears in U.S. dollars or in-kind or any combination thereof.""},{""claim_index"":3,""accession"":""0001437749-25-006261"",""filing_period"":""2024-12-31"",""section"":""Business — Sponsor’s Fee"",""supporting_passage"":""The Sponsor’s Fee is accrued daily at an annualized rate equal to 0.25% of the net asset value of the Trust and is payable at least quarterly in arrears in U.S. dollars or in-kind or any combination thereof.""},{""claim_index"":4,""accession"":""0001437749-25-006261"",""filing_period"":""2024-12-31"",""section"":""Business — Sponsor’s Fee"",""supporting_passage"":""The Sponsor’s Fee is accrued daily at an annualized rate equal to 0.25% of the net asset value of the Trust and is payable at least quarterly in arrears in U.S. dollars or in-kind or any combination thereof.""}]",""
"17","Compare FETH and FBTC Sponsor Fees by rate, calculation base, accrual asset, and payment timing.","true","0000950170-25-039374; 0000950170-25-039452","Both charge 0.25% annually and calculate the fee daily using prior-day holdings. FETH uses Ether Holdings and accrues in ether; FBTC uses Bitcoin Holdings and accrues in bitcoin. Both are payable monthly in the relevant crypto asset or cash.","Comparison","hard","two-document structured comparison","[""FETH and FBTC both charge a 0.25% annual Sponsor Fee."",""Both calculate the fee daily using prior-day holdings."",""FETH applies its fee to Ether Holdings."",""FETH accrues its fee in ether."",""FBTC applies its fee to Bitcoin Holdings."",""FBTC accrues its fee in bitcoin."",""Both fees are payable monthly."",""Each fee may be paid in the relevant crypto asset or cash.""]","[{""claim_index"":1,""accession"":""0000950170-25-039374"",""filing_period"":""2024-12-31"",""section"":""Business — Fees and Expenses — Sponsor Fee"",""supporting_passage"":""The Trust will pay the Sponsor an annual unified fee of 0.25% of the Trust’s Ether Holdings (the ‘Sponsor Fee’).""},{""claim_index"":1,""accession"":""0000950170-25-039452"",""filing_period"":""2024-12-31"",""section"":""Business — Fees and Expenses — Sponsor Fee"",""supporting_passage"":""The Trust pays the Sponsor an annual unified fee of 0.25% of the Trust’s Bitcoin Holdings (the ‘Sponsor Fee’).""},{""claim_index"":2,""accession"":""0000950170-25-039374"",""filing_period"":""2024-12-31"",""section"":""Business — Fees and Expenses — Sponsor Fee"",""supporting_passage"":""The Administrator will calculate the Sponsor Fee in respect of each day by reference to the prior day’s Ether Holdings. The Sponsor Fee will accrue daily in ether and be payable monthly in ether or cash.""},{""claim_index"":2,""accession"":""0000950170-25-039452"",""filing_period"":""2024-12-31"",""section"":""Business — Fees and Expenses — Sponsor Fee"",""supporting_passage"":""The Administrator calculates the Sponsor Fee in respect of each day by reference to the prior day’s Bitcoin Holdings. The Sponsor Fee is accrued daily in bitcoin and payable monthly in bitcoin or cash.""},{""claim_index"":3,""accession"":""0000950170-25-039374"",""filing_period"":""2024-12-31"",""section"":""Business — Fees and Expenses — Sponsor Fee"",""supporting_passage"":""The Trust will pay the Sponsor an annual unified fee of 0.25% of the Trust’s Ether Holdings (the ‘Sponsor Fee’).""},{""claim_index"":4,""accession"":""0000950170-25-039374"",""filing_period"":""2024-12-31"",""section"":""Business — Fees and Expenses — Sponsor Fee"",""supporting_passage"":""The Administrator will calculate the Sponsor Fee in respect of each day by reference to the prior day’s Ether Holdings. The Sponsor Fee will accrue daily in ether and be payable monthly in ether or cash.""},{""claim_index"":5,""accession"":""0000950170-25-039452"",""filing_period"":""2024-12-31"",""section"":""Business — Fees and Expenses — Sponsor Fee"",""supporting_passage"":""The Trust pays the Sponsor an annual unified fee of 0.25% of the Trust’s Bitcoin Holdings (the ‘Sponsor Fee’).""},{""claim_index"":6,""accession"":""0000950170-25-039452"",""filing_period"":""2024-12-31"",""section"":""Business — Fees and Expenses — Sponsor Fee"",""supporting_passage"":""The Administrator calculates the Sponsor Fee in respect of each day by reference to the prior day’s Bitcoin Holdings. The Sponsor Fee is accrued daily in bitcoin and payable monthly in bitcoin or cash.""},{""claim_index"":7,""accession"":""0000950170-25-039374"",""filing_period"":""2024-12-31"",""section"":""Business — Fees and Expenses — Sponsor Fee"",""supporting_passage"":""The Administrator will calculate the Sponsor Fee in respect of each day by reference to the prior day’s Ether Holdings. The Sponsor Fee will accrue daily in ether and be payable monthly in ether or cash.""},{""claim_index"":7,""accession"":""0000950170-25-039452"",""filing_period"":""2024-12-31"",""section"":""Business — Fees and Expenses — Sponsor Fee"",""supporting_passage"":""The Administrator calculates the Sponsor Fee in respect of each day by reference to the prior day’s Bitcoin Holdings. The Sponsor Fee is accrued daily in bitcoin and payable monthly in bitcoin or cash.""},{""claim_index"":8,""accession"":""0000950170-25-039374"",""filing_period"":""2024-12-31"",""section"":""Business — Fees and Expenses — Sponsor Fee"",""supporting_passage"":""The Administrator will calculate the Sponsor Fee in respect of each day by reference to the prior day’s Ether Holdings. The Sponsor Fee will accrue daily in ether and be payable monthly in ether or cash.""},{""claim_index"":8,""accession"":""0000950170-25-039452"",""filing_period"":""2024-12-31"",""section"":""Business — Fees and Expenses — Sponsor Fee"",""supporting_passage"":""The Administrator calculates the Sponsor Fee in respect of each day by reference to the prior day’s Bitcoin Holdings. The Sponsor Fee is accrued daily in bitcoin and payable monthly in bitcoin or cash.""}]",""
"18","Compare ETHA and FETH Sponsor Fee mechanics, including rate, calculation base, and payment frequency.","true","0001437749-25-006261; 0000950170-25-039374","Both disclose a 0.25% annual rate. ETHA applies it to NAV, accrues it daily, and pays at least quarterly in arrears in dollars, in kind, or both. FETH applies it to Ether Holdings, accrues daily in ether, and pays monthly in ether or cash.","Comparison","hard","cross-sponsor fee comparison","[""ETHA and FETH both disclose a 0.25% annual Sponsor Fee."",""ETHA applies its fee to NAV."",""ETHA’s fee accrues daily."",""ETHA’s fee is payable at least quarterly in arrears in dollars, in kind, or both."",""FETH applies its fee to Ether Holdings."",""FETH’s fee accrues daily in ether."",""FETH’s fee is payable monthly in ether or cash.""]","[{""claim_index"":1,""accession"":""0001437749-25-006261"",""filing_period"":""2024-12-31"",""section"":""Business — Sponsor’s Fee"",""supporting_passage"":""The Sponsor’s Fee is accrued daily at an annualized rate equal to 0.25% of the net asset value of the Trust and is payable at least quarterly in arrears in U.S. dollars or in-kind or any combination thereof.""},{""claim_index"":1,""accession"":""0000950170-25-039374"",""filing_period"":""2024-12-31"",""section"":""Business — Fees and Expenses — Sponsor Fee"",""supporting_passage"":""The Trust will pay the Sponsor an annual unified fee of 0.25% of the Trust’s Ether Holdings (the ‘Sponsor Fee’).""},{""claim_index"":2,""accession"":""0001437749-25-006261"",""filing_period"":""2024-12-31"",""section"":""Business — Sponsor’s Fee"",""supporting_passage"":""The Sponsor’s Fee is accrued daily at an annualized rate equal to 0.25% of the net asset value of the Trust and is payable at least quarterly in arrears in U.S. dollars or in-kind or any combination thereof.""},{""claim_index"":3,""accession"":""0001437749-25-006261"",""filing_period"":""2024-12-31"",""section"":""Business — Sponsor’s Fee"",""supporting_passage"":""The Sponsor’s Fee is accrued daily at an annualized rate equal to 0.25% of the net asset value of the Trust and is payable at least quarterly in arrears in U.S. dollars or in-kind or any combination thereof.""},{""claim_index"":4,""accession"":""0001437749-25-006261"",""filing_period"":""2024-12-31"",""section"":""Business — Sponsor’s Fee"",""supporting_passage"":""The Sponsor’s Fee is accrued daily at an annualized rate equal to 0.25% of the net asset value of the Trust and is payable at least quarterly in arrears in U.S. dollars or in-kind or any combination thereof.""},{""claim_index"":5,""accession"":""0000950170-25-039374"",""filing_period"":""2024-12-31"",""section"":""Business — Fees and Expenses — Sponsor Fee"",""supporting_passage"":""The Trust will pay the Sponsor an annual unified fee of 0.25% of the Trust’s Ether Holdings (the ‘Sponsor Fee’).""},{""claim_index"":6,""accession"":""0000950170-25-039374"",""filing_period"":""2024-12-31"",""section"":""Business — Fees and Expenses — Sponsor Fee"",""supporting_passage"":""The Administrator will calculate the Sponsor Fee in respect of each day by reference to the prior day’s Ether Holdings. The Sponsor Fee will accrue daily in ether and be payable monthly in ether or cash.""},{""claim_index"":7,""accession"":""0000950170-25-039374"",""filing_period"":""2024-12-31"",""section"":""Business — Fees and Expenses — Sponsor Fee"",""supporting_passage"":""The Administrator will calculate the Sponsor Fee in respect of each day by reference to the prior day’s Ether Holdings. The Sponsor Fee will accrue daily in ether and be payable monthly in ether or cash.""}]",""
"19","Compare IBIT and GBTC by trading venue and stated approach to Bitcoin exposure.","true","0001437749-25-015168; 0000950170-25-029408","IBIT trades on NASDAQ and values its Bitcoin using the CME CF Bitcoin Reference Rate – New York Variant. GBTC trades on NYSE Arca and seeks for its shares to reflect held Bitcoin using its Index Price, less expenses and liabilities. Both provide passive Bitcoin exposure.","Comparison","hard","two-document product comparison","[""IBIT trades on NASDAQ."",""IBIT values bitcoin using the CME CF Bitcoin Reference Rate – New York Variant."",""GBTC trades on NYSE Arca."",""GBTC seeks for its shares to reflect held Bitcoin using the Index Price, less expenses and liabilities."",""Both products provide Bitcoin exposure.""]","[{""claim_index"":1,""accession"":""0001437749-25-015168"",""filing_period"":""2025-03-31"",""section"":""Financial Statements"",""supporting_passage"":""The Shares were listed on The Nasdaq Stock Market LLC (‘NASDAQ’) on January 11, 2024. The Trust seeks to reflect generally the performance of the price of bitcoin. The Trust seeks to reflect such performance before payment of the Trust’s expenses and liabilities.""},{""claim_index"":2,""accession"":""0001437749-25-015168"",""filing_period"":""2025-03-31"",""section"":""Financial Statements — Valuation of Bitcoin"",""supporting_passage"":""The CME CF Bitcoin Reference Rate – New York Variant for the Bitcoin – U.S. Dollar trading pair (the ‘CF Benchmarks Index’) shall constitute the Index, unless the CF Benchmarks Index is not available or the Sponsor in its sole discretion determines the CF Benchmarks Index is unreliable as the Index and therefore determines not to use the CF Benchmarks Index as the Index.""},{""claim_index"":3,""accession"":""0000950170-25-029408"",""filing_period"":""2024-12-31"",""section"":""Business"",""supporting_passage"":""The Shares are listed on NYSE Arca under the ticker symbol ‘GBTC.’ As a passive investment vehicle, the Trust’s investment objective is for the value of the Shares, based on Bitcoin per Share, to reflect the value of the Bitcoin held by the Trust, determined by reference to the Index Price, less the Trust’s expenses and other liabilities. The Trust does not seek to generate returns beyond tracking the price of Bitcoin.""},{""claim_index"":4,""accession"":""0000950170-25-029408"",""filing_period"":""2024-12-31"",""section"":""Business"",""supporting_passage"":""The Shares are listed on NYSE Arca under the ticker symbol ‘GBTC.’ As a passive investment vehicle, the Trust’s investment objective is for the value of the Shares, based on Bitcoin per Share, to reflect the value of the Bitcoin held by the Trust, determined by reference to the Index Price, less the Trust’s expenses and other liabilities. The Trust does not seek to generate returns beyond tracking the price of Bitcoin.""},{""claim_index"":5,""accession"":""0001437749-25-015168"",""filing_period"":""2025-03-31"",""section"":""Financial Statements"",""supporting_passage"":""The Shares were listed on The Nasdaq Stock Market LLC (‘NASDAQ’) on January 11, 2024. The Trust seeks to reflect generally the performance of the price of bitcoin. The Trust seeks to reflect such performance before payment of the Trust’s expenses and liabilities.""},{""claim_index"":5,""accession"":""0000950170-25-029408"",""filing_period"":""2024-12-31"",""section"":""Business"",""supporting_passage"":""The Shares are listed on NYSE Arca under the ticker symbol ‘GBTC.’ As a passive investment vehicle, the Trust’s investment objective is for the value of the Shares, based on Bitcoin per Share, to reflect the value of the Bitcoin held by the Trust, determined by reference to the Index Price, less the Trust’s expenses and other liabilities. The Trust does not seek to generate returns beyond tracking the price of Bitcoin.""}]",""
"20","Compare ETHA and ETHE by underlying crypto asset and listing exchange.","true","0001437749-25-006261; 0000950170-25-029411","Both provide exposure to ether. ETHA is listed on NASDAQ, while ETHE is listed on NYSE Arca.","Comparison","medium","two-document attribute comparison","[""ETHA and ETHE both provide exposure to ether."",""ETHA is listed on NASDAQ."",""ETHE is listed on NYSE Arca.""]","[{""claim_index"":1,""accession"":""0001437749-25-006261"",""filing_period"":""2024-12-31"",""section"":""Management’s Discussion and Analysis of Financial Condition and Results of Operations"",""supporting_passage"":""On June 24, 2024, the Trust purchased approximately 3,031 ether with the proceeds of the Seed Creation Baskets using the Prime Execution Agent. With the above transaction on June 24, 2024, the Trust commenced operations and the Sponsor’s fee started accruing daily at an annualized rate equal to 0.25% of the net asset value of the Trust.""},{""claim_index"":1,""accession"":""0000950170-25-029411"",""filing_period"":""2024-12-31"",""section"":""Business"",""supporting_passage"":""The Shares are listed on NYSE Arca under the ticker symbol ‘ETHE.’ As a passive investment vehicle, the Trust’s investment objective is for the value of the Shares, based on Ether per Share, to reflect the value of the Ether held by the Trust.""},{""claim_index"":2,""accession"":""0001437749-25-006261"",""filing_period"":""2024-12-31"",""section"":""Business — Listed"",""supporting_passage"":""The Shares are listed and traded on Nasdaq Stock Market LLC (‘NASDAQ’) under the ticker symbol ‘ETHA’.""},{""claim_index"":3,""accession"":""0000950170-25-029411"",""filing_period"":""2024-12-31"",""section"":""Business"",""supporting_passage"":""The Shares are listed on NYSE Arca under the ticker symbol ‘ETHE.’ As a passive investment vehicle, the Trust’s investment objective is for the value of the Shares, based on Ether per Share, to reflect the value of the Ether held by the Trust.""}]",""
"21","Compare FBTC and FETH by commencement date, underlying asset, and Sponsor Fee base.","true","0000950170-25-039452; 0000950170-25-039374","FBTC commenced January 11, 2024, holds Bitcoin, and bases its 0.25% fee on Bitcoin Holdings. FETH commenced July 23, 2024, holds ether, and bases its 0.25% fee on Ether Holdings.","Comparison","hard","multi-attribute temporal comparison","[""FBTC commenced operations on January 11, 2024."",""FBTC holds Bitcoin."",""FBTC bases its 0.25% fee on Bitcoin Holdings."",""FETH commenced operations on July 23, 2024."",""FETH holds ether."",""FETH bases its 0.25% fee on Ether Holdings.""]","[{""claim_index"":1,""accession"":""0000950170-25-039452"",""filing_period"":""2024-12-31"",""section"":""Financial Statements and Supplementary Data"",""supporting_passage"":""On January 11, 2024, the Trust commenced operations and Shares commenced trading on Cboe BZX Exchange, Inc.""},{""claim_index"":2,""accession"":""0000950170-25-039452"",""filing_period"":""2024-12-31"",""section"":""Business"",""supporting_passage"":""When the Trust sells or redeems its Shares, it will do so in blocks of 25,000 Shares (a ‘Basket’) based on the quantity of bitcoin attributable to each Share of the Trust, net of accrued but unpaid expenses and liabilities.""},{""claim_index"":3,""accession"":""0000950170-25-039452"",""filing_period"":""2024-12-31"",""section"":""Business — Fees and Expenses — Sponsor Fee"",""supporting_passage"":""The Trust pays the Sponsor an annual unified fee of 0.25% of the Trust’s Bitcoin Holdings (the ‘Sponsor Fee’).""},{""claim_index"":4,""accession"":""0000950170-25-039374"",""filing_period"":""2024-12-31"",""section"":""Management’s Discussion and Analysis of Financial Condition and Results of Operations"",""supporting_passage"":""On July 23, 2024, the Trust commenced operations and Shares commenced trading on the Exchange.""},{""claim_index"":5,""accession"":""0000950170-25-039374"",""filing_period"":""2024-12-31"",""section"":""Business"",""supporting_passage"":""When the Trust sells or redeems its Shares, it will do so in blocks of 25,000 Shares (a ‘Basket’) based on the quantity of ether attributable to each Share of the Trust, net of accrued but unpaid expenses and liabilities.""},{""claim_index"":6,""accession"":""0000950170-25-039374"",""filing_period"":""2024-12-31"",""section"":""Business — Fees and Expenses — Sponsor Fee"",""supporting_passage"":""The Trust will pay the Sponsor an annual unified fee of 0.25% of the Trust’s Ether Holdings (the ‘Sponsor Fee’).""}]",""
