"question_id","question","answerable","expected_document","reference_answer","category","difficulty","evaluation_focus"
"23","Compare GBTC and ETHE by underlying crypto asset, ticker, and listing exchange.","true","0000950170-25-029408; 0000950170-25-029411","GBTC provides Bitcoin exposure under ticker GBTC; ETHE provides ether exposure under ticker ETHE. Both are listed on NYSE Arca.","Comparison","medium","same-sponsor product comparison"
"24","How do BlackRock's ETHA and Fidelity's FETH differ in launch date, trading venue, and Sponsor Fee payment schedule?","true","0001437749-25-006261; 0000950170-25-039374","ETHA commenced June 24, 2024 and trades on NASDAQ; its fee is payable at least quarterly in arrears. FETH commenced July 23, 2024 and trades on Cboe BZX; its fee is payable monthly. Both disclose a 0.25% annual rate.","Comparison","hard","cross-sponsor operational comparison"
"25","Create a concise operational profile of FETH covering launch date, venue, underlying asset, creation/redemption method at commencement, and Sponsor Fee mechanics.","true","0000950170-25-039374","FETH launched July 23, 2024, trades on Cboe BZX, and holds ether. At commencement, Authorized Participants could create or redeem Baskets only for cash. Its 0.25% annual fee is based on prior-day Ether Holdings, accrues daily in ether, and is paid monthly in ether or cash.","Synthesis","hard","multi-section single-document synthesis"
"26","Create a concise operational profile of FBTC covering launch date, Basket structure, underlying asset, and Sponsor Fee mechanics.","true","0000950170-25-039452","FBTC launched January 11, 2024, holds Bitcoin, and issues or redeems in 25,000-share Baskets based on bitcoin attributable per share net of liabilities. Its 0.25% annual fee is based on prior-day Bitcoin Holdings, accrues daily in bitcoin, and is paid monthly in bitcoin or cash.","Synthesis","hard","multi-section single-document synthesis"
"27","Summarize ETHA's 2024 launch and explain how its seed transaction connects to its initial ether purchase and Sponsor Fee accrual.","true","0001437749-25-006261","ETHA received $10 million from 400,000 seed shares purchased at $25.00 each on May 21, 2024. It used the proceeds to buy approximately 3,031 ether on June 24, 2024, when operations and daily Sponsor Fee accrual at 0.25% annualized began.","Synthesis","hard","causal and chronological synthesis"
"28","Summarize how IBIT converts its Bitcoin holdings into a daily NAV per Share and identify where the shares trade.","true","0001437749-25-015168","IBIT trades on NASDAQ. After 4:00 p.m. ET on a Business Day, it values Bitcoin using the CME CF Bitcoin Reference Rate – New York Variant, subtracts fees, expenses, and liabilities from assets, then divides net asset value by shares outstanding.","Synthesis","hard","financial-process synthesis"
"29","Summarize GBTC's investment objective and explain why shareholder returns may differ from the gross change in Bitcoin's price.","true","0000950170-25-029408","GBTC seeks for its shares to reflect the Bitcoin it holds using the Index Price, but expenses and liabilities reduce the value reflected in the shares. It is passive and does not seek returns beyond Bitcoin tracking; market premiums or discounts may also cause trading results to differ from NAV.","Synthesis","hard","objective and consequence synthesis"
"30","Summarize the main investor-facing differences between GBTC and ETHE using underlying asset, ticker, and trading venue.","true","0000950170-25-029408; 0000950170-25-029411","GBTC provides exposure to Bitcoin under ticker GBTC, while ETHE provides exposure to ether under ticker ETHE. Both trade on NYSE Arca.","Synthesis","medium","two-document product synthesis"
"31","Summarize the main operational similarities and differences between Fidelity's FBTC and FETH.","true","0000950170-25-039452; 0000950170-25-039374","Both are Fidelity crypto funds with a 0.25% annual unified Sponsor Fee calculated daily and payable monthly. FBTC holds Bitcoin, began January 11, 2024, and bases its fee on Bitcoin Holdings; FETH holds ether, began July 23, 2024, and bases its fee on Ether Holdings.","Synthesis","hard","multi-document similarities and differences"
"32","Summarize the main operational differences between BlackRock's ETHA and Fidelity's FETH for an investor comparing the two ether products.","true","0001437749-25-006261; 0000950170-25-039374","Both are ether products with a 0.25% annual Sponsor Fee. ETHA began June 24, 2024, trades on NASDAQ, bases the fee on NAV, and pays at least quarterly in arrears. FETH began July 23, 2024, trades on Cboe BZX, bases the fee on Ether Holdings, and pays monthly.","Synthesis","hard","cross-sponsor investor comparison"
"33","What was FBTC's balance sheet for Q2 2028?","false","N/A — no 2028 filing","I could not find enough evidence in the retrieved SEC filings; the corpus contains no FBTC filing for Q2 2028.","Unanswerable","medium","missing future period"
"34","Provide the 2025 financial statements for ticker COIN.","false","N/A — COIN is outside corpus","I could not find enough evidence in the retrieved SEC filings; COIN is not an in-scope ticker.","Unanswerable","medium","out-of-scope entity"
"35","Before 2016, did any fund in the corpus report a negative cash balance?","false","N/A — corpus begins in 2021","I could not find enough evidence in the retrieved SEC filings; the corpus has no filings before 2016.","Unanswerable","hard","missing historical coverage"
"36","Provide BlackRock's Solana ETF Sponsor Fee and 2025 financial statements.","false","N/A — no Solana ETF in corpus","I could not find enough evidence in the retrieved SEC filings; no BlackRock Solana ETF filing is present in the corpus.","Unanswerable","medium","out-of-scope product"
"37","How did FETH's risk factors change between its 2023 and 2025 annual filings?","false","N/A — no FETH 2023 filing","I could not find enough evidence in the retrieved SEC filings; FETH has no 2023 annual filing in the corpus because it began operations in 2024.","Unanswerable","hard","missing comparison baseline"
"38","Based on the filings, what will Bitcoin's price be next month?","false","N/A — future prediction not disclosed","I could not find enough evidence in the retrieved SEC filings; future Bitcoin prices are not disclosed facts in these filings.","Unanswerable","medium","unsupported forecast"
"39","What Sponsor Fee does the XRP ETF in this corpus charge?","false","N/A — no XRP ETF in corpus","I could not find enough evidence in the retrieved SEC filings; the corpus contains no XRP ETF.","Unanswerable","medium","nonexistent corpus entity"
"40","Compare ETHA's 2020 and 2024 balance sheets.","false","N/A — no ETHA 2020 filing","I could not find enough evidence in the retrieved SEC filings; ETHA has no 2020 filing in the corpus.","Unanswerable","hard","missing historical document"
