question_id,category,difficulty,answerable,document_hit_at_k,reciprocal_rank,citations_valid,abstention_correct,retrieval_latency_ms,generation_latency_ms,total_latency_ms,ragas_answer_correct,ragas_faithfulness,ragas_factual_correctness,ragas_context_precision,embedding_tokens,generation_input_tokens,generation_output_tokens,rag_total_tokens
16,Procedural,medium,True,False,0.0,True,,449.09349999943515,2538.3084999994026,2987.4201999991783,False,0.8888888888888888,0.0,0.19999999998,24,2505,182,2711
17,Comparison,hard,True,False,0.0,False,,439.42360000073677,797.7734999949462,1237.2527999978047,False,0.0,0.0,0.32499999998375,22,2731,12,2765
18,Comparison,hard,True,False,0.0,True,,447.4638999963645,3584.4839999990654,4031.9654999984778,False,0.47058823529411764,0.29,0.8874999999778125,20,2328,288,2636
19,Comparison,hard,True,False,0.0,True,,1088.9394999976503,4301.114399997459,5390.072700000019,False,0.5,0.4,0.9999999999,16,2792,337,3145
20,Comparison,medium,True,False,0.0,False,,412.61380000651116,651.3469999990775,1063.978699996369,False,0.0,0.0,0.0,14,2708,12,2734
21,Comparison,hard,True,False,0.0,False,,444.64780000271276,633.6546000020462,1078.318500003661,False,0.0,0.0,0.0,18,1438,12,1468
22,Comparison,hard,True,False,0.0,False,,558.8589000035427,3467.362499999581,4026.2390000061714,False,0.0,0.0,0.0,24,2391,13,2428
23,Comparison,medium,True,False,0.0,True,,483.5730999984662,2419.014099999913,2902.605900002527,True,0.8571428571428571,0.83,0.249999999975,17,2698,148,2863
24,Comparison,hard,True,False,0.0,True,,471.57850000075996,2828.1037000051583,3299.7027000019443,False,1.0,0.36,0.19999999998,27,2783,297,3107
25,Synthesis,hard,True,True,0.5,True,,484.5225999961258,2506.0348000042723,2990.5768000026,False,1.0,0.53,0.9999999999666667,29,2059,170,2258
26,Synthesis,hard,True,True,0.2,True,,449.8142000011285,2373.855600002571,2823.687999996764,False,1.0,0.43,0.49999999995,23,2277,143,2443
27,Synthesis,hard,True,True,0.5,True,,456.02620000136085,2048.816100003023,2504.8613000035402,False,1.0,0.22,0.499999999975,28,2653,143,2824
28,Synthesis,hard,True,True,0.3333333333333333,True,,480.480099999113,3095.8933000001707,3576.391499998863,True,1.0,0.8,0.99999999998,23,3025,145,3193
29,Synthesis,hard,True,True,0.5,True,,436.0973000002559,2762.331500001892,3198.446900001727,False,1.0,0.5,0.99999999998,24,2761,183,2968
30,Synthesis,medium,True,False,0.0,True,,443.75140000192914,2391.9701000049827,2835.7394999984535,True,0.8571428571428571,0.8,0.0,24,2754,148,2926
31,Synthesis,hard,True,False,0.0,False,,1562.855700001819,1342.4273999989964,2905.3018000049633,False,0.0,0.0,0.0,19,2532,13,2564
32,Synthesis,hard,True,False,0.0,False,,451.6637999986415,1287.6480999984778,1739.3325000011828,False,0.0,0.0,0.0,28,3114,13,3155
33,Unanswerable,medium,False,,,True,True,456.378400005633,1534.8649000006844,1991.258599999128,True,,,,14,1512,13,1539
34,Unanswerable,medium,False,,,True,True,281.20859999762615,651.6459999984363,932.8764999954728,True,,,,12,5152,12,5176
35,Unanswerable,hard,False,,,True,True,280.5067000008421,592.1833999964292,872.7084999991348,True,,,,17,2281,12,2310
36,Unanswerable,medium,False,,,True,True,293.14229999727104,1414.5634999949834,1707.7301999961492,True,,,,16,2385,13,2414
37,Unanswerable,hard,False,,,True,True,430.17759999929694,605.3123000019696,1035.5054999963613,True,,,,20,992,12,1024
38,Unanswerable,medium,False,,,True,True,325.42089999333257,1300.332899998466,1625.7700999994995,True,,,,14,1022,13,1049
39,Unanswerable,medium,False,,,True,True,328.8219999958528,1213.2173999998486,1542.0580999998492,True,,,,13,2994,13,3020
40,Unanswerable,hard,False,,,True,True,326.8062999995891,1556.9127999988268,1883.7363999991794,True,,,,14,2383,13,2410
